Country,States,Population,Population Growth %
Angola,Lunda Sul,537651.450852399,0.01
Angola,Malanje,986481.254228851,0.01
Angola,Moxico,758658.944078266,0.01
Angola,Namibe,495385.384216722,0.01
Angola,Uíge,1483295.80976717,0.01
Angola,Zaire,594499.265471988,0.01
Argentina,Ciudad de Buenos Aires,2890346.47966456,0.01
Argentina,Buenos Aires,15626873.2680826,0.01
Argentina,Catamarca,368044.119209882,0.01
Argentina,Chaco,1055126.48306093,0.01
Argentina,Chubut,509061.023581059,0.01
Argentina,Córdoba,3309396.71322146,0.01
Argentina,Corrientes,993119.049933187,0.01
Argentina,Entre Ríos,1236148.1829984,0.01
Argentina,Formosa,530063.541253362,0.01
Argentina,Jujuy,673080.685402854,0.01
Argentina,La Pampa,319038.244641174,0.01
Argentina,La Rioja,334040.042978533,0.01
Argentina,Mendoza,1739208.48724452,0.01
Argentina,Misiones,1102132.11785132,0.01
Argentina,Neuquén,551066.058925665,0.01
Argentina,Río Negro,639076.609171507,0.01
Argentina,Salta,1214145.54543694,0.01
Argentina,San Juan,681081.644516114,0.01
Argentina,San Luis,432051.792115948,0.01
Argentina,Santa Cruz,274032.849629096,0.01
Argentina,Santa Fe,3195383.04585753,0.01
Argentina,Santiago del Estero,874104.78312347,0.01
Argentina,Tierra del Fuego,127015.225922975,0.01
Argentina,Tucumán,1448173.59949975,0.01
Armenia,Aragatsotn,132940.936266232,0.01
Armenia,Ararat,260398.215180215,0.01
Armenia,Armavir,265801.862941331,0.01
Armenia,Gegharkunik  ,235103.182943649,0.01
Armenia,Kotayk,254427.499441946,0.01
Armenia,Lori,235565.238332439,0.01
Armenia,Shirak,251971.204994175,0.01
Armenia,Syunik,141787.996805717,0.01
Armenia,Tavush,128624.418824628,0.01
Armenia,Vayots Dzor,52330.2730802659,0.01
Armenia,Yerevan,1060265.09905142,0.01
Australia,New South Wales,8090495.846455,0.01
Australia,Northern Territory,245898.477027212,0.01
Australia,Queensland,5095710.8472453,0.01
Australia,South Australia,1751903.00899759,0.01
Australia,Tasmania,534345.054498845,0.01
Australia,Victoria,6595594.64549404,0.01
Australia,Western Australia,2621994.31100588,0.01
Australia,Australian Capital Territory,420429.398884052,0.01
Austria,Vienna,1867805.90283214,0.01
Austria,Upper Austria,1465220.64301043,0.01
Austria,Lower Austria,1665952.70572341,0.01
Austria,Styria,1237446.33861452,0.01
Austria,Tyrol,746242.455654378,0.01
Austria,Salzburg,549328.8506782,0.01
Austria,Carinthia,561144.267048703,0.01
Austria,Vorarlberg,388798.607149674,0.01
Austria,Burgenland,291977.000680356,0.01
Azerbaijan,Absheron,189822.754962052,0.01
Azerbaijan,Ganja-Qazakh,332639.875133713,0.01
