Country,States,Population,Birth Rate,Births,Death Rate,Deaths,Inbound Migration,Outbound Migration,Population Growth %
Andorra,Ordino,3467.31670125057,,,,,,,0.01
Andorra,Sant Julià de Lòria,9448.86304973045,,,,,,,0.01
Antigua and Barbuda,Saint George,8055.73580287667,,,,,,,0.01
Antigua and Barbuda,Saint John,51741.7260376698,,,,,,,0.01
Antigua and Barbuda,Saint Mary,7341.67058087122,,,,,,,0.01
Antigua and Barbuda,Saint Paul,8128.74247123297,,,,,,,0.01
Antigua and Barbuda,Saint Peter,5325.48642462052,,,,,,,0.01
Antigua and Barbuda,Saint Philip,3347.30573956899,,,,,,,0.01
Antigua and Barbuda,Barbuda,1634.1492615643,,,,,,,0.01
Antigua and Barbuda,Redonda,0,,,,,,,0.01
Angola,Bengo,356673.57820903,,,,,,,0.01
Angola,Benguela,2231588.83109893,,,,,,,0.01
Angola,Bié,1455387.93368284,,,,,,,0.01
Angola,Cabinda,716141.411642547,,,,,,,0.01
Angola,Cuando Cubango,534050.779665766,,,,,,,0.01
Angola,Cuanza Norte,443426.502134608,,,,,,,0.01
Angola,Cuanza Sul,1882044.90410513,,,,,,,0.01
Angola,Cunene,990177.44182033,,,,,,,0.01
Angola,Huambo,2019739.48099051,,,,,,,0.01
Angola,Huíla,2497650.13287298,,,,,,,0.01
Angola,Luanda,6946020.44258204,,,,,,,0.01
Angola,Lunda Norte,862644.793115346,,,,,,,0.01
Angola,Lunda Sul,537636.107146004,,,,,,,0.01
Angola,Malanje,986453.101642812,,,,,,,0.01
Angola,Moxico,758637.293173998,,,,,,,0.01
Angola,Namibe,495371.246715789,,,,,,,0.01
Angola,Uíge,1483253.47889395,,,,,,,0.01
Angola,Zaire,594482.29942053,,,,,,,0.01
Argentina,Ciudad de Buenos Aires,2890263.9938316,,,,,,,0.01
Argentina,Buenos Aires,15626427.3022902,,,,,,,0.01
Argentina,Catamarca,368033.61582354,,,,,,,0.01
Argentina,Chaco,1055096.37145063,,,,,,,0.01
Argentina,Chubut,509046.495799407,,,,,,,0.01
Argentina,Córdoba,3309302.26836981,,,,,,,0.01
Argentina,Corrientes,993090.70791515,,,,,,,0.01
Argentina,Entre Ríos,1236112.90532036,,,,,,,0.01
Argentina,Formosa,530048.414093685,,,,,,,0.01
Argentina,Jujuy,673061.476764245,,,,,,,0.01
Argentina,La Pampa,319029.139803557,,,,,,,0.01
Argentina,La Rioja,334030.510013756,,,,,,,0.01
Argentina,Mendoza,1739158.85303569,,,,,,,0.01
Argentina,Misiones,1102100.66477592,,,,,,,0.01
Argentina,Neuquén,551050.332387963,,,,,,,0.01
Argentina,Río Negro,639058.370954462,,,,,,,0.01
Argentina,Salta,1214110.89567873,,,,,,,0.01
Argentina,San Juan,681062.207543019,,,,,,,0.01
Argentina,San Luis,432039.462053721,,,,,,,0.01
Argentina,Santa Cruz,274025.029172961,,,,,,,0.01
Argentina,Santa Fe,3195291.8547723,,,,,,,0.01
Argentina,Santiago del Estero,874079.837580908,,,,,,,0.01
Argentina,Tierra del Fuego,127011.601113014,,,,,,,0.01
Argentina,Tucumán,1448132.27095784,,,,,,,0.01
Armenia,Aragatsotn,132937.142346043,,,,,,,0.01
Armenia,Ararat,260390.783834585,,,,,,,0.01
Armenia,Armavir,265794.277384298,,,,,,,0.01
Armenia,Gegharkunik  ,235096.473477496,,,,,,,0.01
Armenia,Kotayk,254420.238490926,,,,,,,0.01
Armenia,Lori,235558.51567997,,,,,,,0.01
Armenia,Shirak,251964.014141843,,,,,,,0.01
Armenia,Syunik,141783.95040467,,,,,,,0.01
Armenia,Tavush,128620.748090895,,,,,,,0.01
Armenia,Vayots Dzor,52328.7796585622,,,,,,,0.01
